"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","nb_no_block","block","no_block","nb_wait"
"1",3,0.822038,0.190381,1000,0.004815,19.031487,19.038129,0.809619,822.0375,177.9625,1440,90324,73128,43,130066560,105304320,0.146594,0.780936,0.001838,2,0.023455,1,1,0,0,0
"2",9,0.275513,0.729111,100,0.004815,72.889036,72.911141,0.270889,27.55125,72.44875,1440,9048,2451,169,13029120,3529440,0.517669,0.242451,0.002236,3,0.460725,3,0,1,0,0
"3",3,0.923707,0.090383,900,0.000633,9.035834,9.038339,0.909617,831.336,68.664,1440,81276,73930,176,117037440,106459200,0.058749,0.886758,0.001751,2,0,2,0,0,1,0
"4",9,0.368775,0.63771,100,0.000552,63.737843,63.770999,0.36229,36.8775,63.1225,1440,9048,3278,158,13029120,4720320,0.522922,0.324522,0.001776,3,0.439255,3,0,1,0,0
"5",3,0.905217,0.10867,800,0.000497,10.864208,10.866977,0.89133,724.17375,75.82625,1440,72228,64379,180,104008320,92705760,0.076069,0.869009,0.001767,2,0,2,0,0,1,0
"6",9,0.514687,0.494142,100,0.003098,49.392131,49.414235,0.505858,51.46875,48.53125,1440,9048,4577,137,13029120,6590880,0.405197,0.442631,0.00225,3,0.291742,1,1,0,0,0
"7",3,0.912327,0.102633,700,0.000423,10.252196,10.263258,0.897367,638.628775,61.371225,1440,63284,56789,168,91128960,81776160,0.08108,0.86671,0.001959,2,0,2,0,0,1,0
"8",9,0.565425,0.444076,100,0.004677,44.3855,44.407604,0.555924,56.5425,43.4575,1440,9048,5030,127,13029120,7243200,0.359702,0.508883,0.002365,1,0.122299,1,1,0,0,0
"9",9,0.928,0.086126,900,0.000623,8.610168,8.612629,0.913874,835.2,64.8,1440,81276,74276,174,117037440,106957440,0.06804,0.89088,0.000583,2,0,2,0,0,1,0
"10",9,0.55125,0.458002,100,0.005004,45.778073,45.800177,0.541998,55.125,44.875,1440,9048,4904,131,13029120,7061760,0.325181,0.4851,0.002435,1,0.120317,1,1,0,0,0
"11",3,0.859478,0.153514,500,0.000443,15.344782,15.351421,0.846486,429.73875,70.26125,1440,45188,38251,172,65070720,55081440,0.108995,0.850883,0.002242,2,0,2,0,0,1,0
"12",9,0.53145,0.477896,100,0.000866,47.75641,47.789567,0.522104,53.145,46.855,1440,9048,4724,135,13029120,6802560,0.396653,0.451733,0.002294,1,0.126929,1,1,0,0,0
"13",3,0.820097,0.192972,400,0.000469,19.280576,19.297178,0.807028,328.03875,71.96125,1440,36140,29166,173,52041600,41999040,0.140869,0.811896,0.00226,2,0.005635,1,1,0,0,0
"14",9,0.577238,0.432471,100,0.004838,43.225022,43.247126,0.567529,57.72375,42.27625,1440,9048,5135,124,13029120,7394400,0.315704,0.496424,0.002764,1,0.123125,4,0,0,0,1
"15",3,0.87525,0.138362,600,0.000428,13.825114,13.836188,0.861638,525.15,74.85,1440,54184,46687,177,78024960,67229280,0.101004,0.857745,0.001901,2,0,2,0,0,1,0
"16",9,0.538875,0.47027,100,0.004078,47.004863,47.026967,0.52973,53.8875,46.1125,1440,9048,4793,133,13029120,6901920,0.352702,0.463433,0.002281,1,0.102284,1,1,0,0,0
