seed,label,legal_tcp_packets,legal_tcp_bytes,legal_ack_packets,optical_burst_pairs,successful_link_reservations,direct_bhp_created,allow,release,drop_over_profile,quarantine
101,S0,48678,50623120,48322,4917,19606,0,0,0,0,0
101,S1,22726,23633040,22637,2763,11029,60680,60680,0,0,0
101,S2_rate_limit,48678,50623120,48322,4917,19606,60680,2,4,18,60656
101,S2_isolation,48678,50623120,48322,4917,19606,60680,2,0,18,60660
202,S0,48678,50623120,48322,4917,19606,0,0,0,0,0
202,S1,18543,19282720,18517,2427,9683,50520,50520,0,0,0
202,S2_rate_limit,48678,50623120,48322,4917,19606,50520,2,4,18,50496
202,S2_isolation,48678,50623120,48322,4917,19606,50520,2,0,18,50500
303,S0,48678,50623120,48322,4917,19606,0,0,0,0,0
303,S1,20366,21178640,20301,2555,10192,54048,54048,0,0,0
303,S2_rate_limit,48678,50623120,48322,4917,19606,54048,2,4,18,54024
303,S2_isolation,48678,50623120,48322,4917,19606,54048,2,0,18,54028
404,S0,48678,50623120,48322,4917,19606,0,0,0,0,0
404,S1,31037,32276480,31018,3414,13627,44960,44960,0,0,0
404,S2_rate_limit,48678,50623120,48322,4917,19606,44960,2,4,18,44936
404,S2_isolation,48678,50623120,48322,4917,19606,44960,2,0,18,44940
505,S0,48678,50623120,48322,4917,19606,0,0,0,0,0
505,S1,18145,18868800,18032,2288,9126,43528,43528,0,0,0
505,S2_rate_limit,48678,50623120,48322,4917,19606,43528,2,4,18,43504
505,S2_isolation,48678,50623120,48322,4917,19606,43528,2,0,18,43508
606,S0,48678,50623120,48322,4917,19606,0,0,0,0,0
606,S1,25708,26734320,25557,2996,11951,61608,61608,0,0,0
606,S2_rate_limit,48678,50623120,48322,4917,19606,61608,2,4,18,61584
606,S2_isolation,48678,50623120,48322,4917,19606,61608,2,0,18,61588
707,S0,48678,50623120,48322,4917,19606,0,0,0,0,0
707,S1,29150,30314000,28939,3361,13411,62784,62784,0,0,0
707,S2_rate_limit,48678,50623120,48322,4917,19606,62784,2,4,18,62760
707,S2_isolation,48678,50623120,48322,4917,19606,62784,2,0,18,62764
808,S0,48678,50623120,48322,4917,19606,0,0,0,0,0
808,S1,28785,29934400,28632,3339,13330,55392,55392,0,0,0
808,S2_rate_limit,48678,50623120,48322,4917,19606,55392,2,4,18,55368
808,S2_isolation,48678,50623120,48322,4917,19606,55392,2,0,18,55372
