scenario,seed,attack_rate_mbps,legal_packets,legal_bytes,bursts_sent,bursts_lost,burst_loss_rate,status
S0,101,14.128956026930659,41647,43313466,0,0,0.0,completed
S0,202,11.262179999633963,41654,43320430,0,0,0.0,completed
S0,303,10.629275611875133,41644,43310553,0,0,0.0,completed
S0,404,11.053940992716944,41647,43313032,0,0,0.0,completed
S0,505,13.682030242470308,41641,43307202,0,0,0.0,completed
S0,606,13.316789355906998,41648,43314645,0,0,0.0,completed
S0,707,12.638585992136944,41648,43314913,0,0,0.0,completed
S0,808,11.659336205772469,41646,43312876,0,0,0.0,completed
S1,101,14.128956026930659,31110,32354655,3500,6,0.0017142857142857142,completed
S1,202,11.262179999633963,33000,34320995,3500,6,0.0017142857142857142,completed
S1,303,10.629275611875133,33489,34828967,3500,9,0.0025714285714285713,completed
S1,404,11.053940992716944,33158,34485150,3500,11,0.003142857142857143,completed
S1,505,13.682030242470308,31375,32630651,3500,8,0.002285714285714286,completed
S1,606,13.316789355906998,31594,32858552,3500,9,0.0025714285714285713,completed
S1,707,12.638585992136944,32031,33312891,3500,7,0.002,completed
S1,808,11.659336205772469,32707,34016036,3500,9,0.0025714285714285713,completed
S2_rate_limit,101,14.128956026930659,41285,42936811,250,1,0.004,completed
S2_rate_limit,202,11.262179999633963,41419,43076148,250,1,0.004,completed
S2_rate_limit,303,10.629275611875133,41446,43104457,250,0,0.0,completed
S2_rate_limit,404,11.053940992716944,41430,43088135,250,0,0.0,completed
S2_rate_limit,505,13.682030242470308,41298,42950249,250,0,0.0,completed
S2_rate_limit,606,13.316789355906998,41325,42978097,250,0,0.0,completed
S2_rate_limit,707,12.638585992136944,41348,43002457,250,0,0.0,completed
S2_rate_limit,808,11.659336205772469,41401,43057760,250,0,0.0,completed
S2_isolation,101,14.128956026930659,41285,42936811,250,1,0.004,completed
S2_isolation,202,11.262179999633963,41419,43076148,250,1,0.004,completed
S2_isolation,303,10.629275611875133,41446,43104457,250,0,0.0,completed
S2_isolation,404,11.053940992716944,41430,43088135,250,0,0.0,completed
S2_isolation,505,13.682030242470308,41298,42950249,250,0,0.0,completed
S2_isolation,606,13.316789355906998,41325,42978097,250,0,0.0,completed
