attack_rate_mbps,seed,legal_packets,bursts_sent,burst_loss_rate
5,101,38539,3500,0.0017142857142857142
5,202,40372,3500,0.0017142857142857142
5,303,40816,3500,0.0025714285714285713
10,101,32623,3500,0.0017142857142857142
10,202,34562,3500,0.0017142857142857142
10,303,35056,3500,0.0025714285714285713
15,101,29345,3500,0.0017142857142857142
15,202,31140,3500,0.0017142857142857142
15,303,31611,3500,0.0025714285714285713
20,101,27262,7000,0.0014285714285714286
20,202,28885,3500,0.0017142857142857142
20,303,29319,3500,0.0025714285714285713
25,101,25821,7000,0.0014285714285714286
25,202,27288,7000,0.0014285714285714286
25,303,27684,7000,0.002285714285714286
30,101,24766,10500,0.0018095238095238095
30,202,26096,7000,0.0014285714285714286
30,303,26459,7000,0.002285714285714286
35,101,23958,10500,0.0018095238095238095
35,202,25174,7000,0.0014285714285714286
35,303,25507,7000,0.002285714285714286
40,101,23322,14000,0.002
40,202,24438,10500,0.0014285714285714286
40,303,24746,10500,0.0018095238095238095
45,101,22806,14000,0.002
45,202,23838,10500,0.0014285714285714286
45,303,24124,10500,0.0018095238095238095
50,101,22380,14000,0.002
50,202,23339,14000,0.0015
50,303,23605,10500,0.0018095238095238095
