scenario,seed,window_start,window_end,attack_label,legal_mbps,aggregate_mbps,attacker_mbps,burst_rate,burst_loss_rate,rate_cv,active_sources
S0,101,0.0,0.25,0,69.2808,69.2808,0.0,0.0,0.0,0.0,0
S0,101,0.25,0.5,0,69.274144,69.274144,0.0,0.0,0.0,0.0,0
S0,101,0.5,0.75,0,69.279328,69.279328,0.0,0.0,0.0,0.0,0
S0,101,0.75,1.0,0,69.27632,69.27632,0.0,0.0,0.0,0.0,0
S0,101,1.0,1.25,0,69.372704,69.372704,0.0,0.0,0.0,0.0,0
S0,101,1.25,1.5,0,69.244384,69.244384,0.0,0.0,0.0,0.0,0
S0,101,1.5,1.75,0,69.284704,69.284704,0.0,0.0,0.0,0.0,0
S0,101,1.75,2.0,0,69.33184,69.33184,0.0,0.0,0.0,0.0,0
S0,101,2.0,2.25,0,69.362016,69.362016,0.0,0.0,0.0,0.0,0
S0,101,2.25,2.5,0,69.348992,69.348992,0.0,0.0,0.0,0.0,0
S0,101,2.5,2.75,0,69.25696,69.25696,0.0,0.0,0.0,0.0,0
S0,101,2.75,3.0,0,69.282464,69.282464,0.0,0.0,0.0,0.0,0
S0,101,3.0,3.25,0,69.321984,69.321984,0.0,0.0,0.0,0.0,0
S0,101,3.25,3.5,0,69.343424,69.343424,0.0,0.0,0.0,0.0,0
S0,101,3.5,3.75,0,69.293792,69.293792,0.0,0.0,0.0,0.0,0
S0,101,3.75,4.0,0,69.307392,69.307392,0.0,0.0,0.0,0.0,0
S0,101,4.0,4.25,0,69.318112,69.318112,0.0,0.0,0.0,0.0,0
S0,101,4.25,4.5,0,69.286624,69.286624,0.0,0.0,0.0,0.0,0
S0,101,4.5,4.75,0,69.244704,69.244704,0.0,0.0,0.0,0.0,0
S0,101,4.75,5.0,0,69.320224,69.320224,0.0,0.0,0.0,0.0,0
S0,202,0.0,0.25,0,69.318976,69.318976,0.0,0.0,0.0,0.0,0
S0,202,0.25,0.5,0,69.220384,69.220384,0.0,0.0,0.0,0.0,0
S0,202,0.5,0.75,0,69.303584,69.303584,0.0,0.0,0.0,0.0,0
S0,202,0.75,1.0,0,69.356064,69.356064,0.0,0.0,0.0,0.0,0
S0,202,1.0,1.25,0,69.368352,69.368352,0.0,0.0,0.0,0.0,0
S0,202,1.25,1.5,0,69.325728,69.325728,0.0,0.0,0.0,0.0,0
S0,202,1.5,1.75,0,69.307712,69.307712,0.0,0.0,0.0,0.0,0
S0,202,1.75,2.0,0,69.287168,69.287168,0.0,0.0,0.0,0.0,0
S0,202,2.0,2.25,0,69.280768,69.280768,0.0,0.0,0.0,0.0,0
S0,202,2.25,2.5,0,69.261472,69.261472,0.0,0.0,0.0,0.0,0
S0,202,2.5,2.75,0,69.325504,69.325504,0.0,0.0,0.0,0.0,0
S0,202,2.75,3.0,0,69.331776,69.331776,0.0,0.0,0.0,0.0,0
S0,202,3.0,3.25,0,69.296928,69.296928,0.0,0.0,0.0,0.0,0
S0,202,3.25,3.5,0,69.384736,69.384736,0.0,0.0,0.0,0.0,0
S0,202,3.5,3.75,0,69.357376,69.357376,0.0,0.0,0.0,0.0,0
S0,202,3.75,4.0,0,69.295072,69.295072,0.0,0.0,0.0,0.0,0
S0,202,4.0,4.25,0,69.335296,69.335296,0.0,0.0,0.0,0.0,0
S0,202,4.25,4.5,0,69.356768,69.356768,0.0,0.0,0.0,0.0,0
S0,202,4.5,4.75,0,69.303552,69.303552,0.0,0.0,0.0,0.0,0
S0,202,4.75,5.0,0,69.236544,69.236544,0.0,0.0,0.0,0.0,0
S0,303,0.0,0.25,0,69.300736,69.300736,0.0,0.0,0.0,0.0,0
S0,303,0.25,0.5,0,69.300768,69.300768,0.0,0.0,0.0,0.0,0
S0,303,0.5,0.75,0,69.310144,69.310144,0.0,0.0,0.0,0.0,0
S0,303,0.75,1.0,0,69.272096,69.272096,0.0,0.0,0.0,0.0,0
S0,303,1.0,1.25,0,69.268576,69.268576,0.0,0.0,0.0,0.0,0
S0,303,1.25,1.5,0,69.253984,69.253984,0.0,0.0,0.0,0.0,0
S0,303,1.5,1.75,0,69.263392,69.263392,0.0,0.0,0.0,0.0,0
S0,303,1.75,2.0,0,69.310432,69.310432,0.0,0.0,0.0,0.0,0
S0,303,2.0,2.25,0,69.3248,69.3248,0.0,0.0,0.0,0.0,0
S0,303,2.25,2.5,0,69.260672,69.260672,0.0,0.0,0.0,0.0,0
S0,303,2.5,2.75,0,69.34896,69.34896,0.0,0.0,0.0,0.0,0
S0,303,2.75,3.0,0,69.291904,69.291904,0.0,0.0,0.0,0.0,0
S0,303,3.0,3.25,0,69.323488,69.323488,0.0,0.0,0.0,0.0,0
S0,303,3.25,3.5,0,69.250016,69.250016,0.0,0.0,0.0,0.0,0
S0,303,3.5,3.75,0,69.28496,69.28496,0.0,0.0,0.0,0.0,0
S0,303,3.75,4.0,0,69.336064,69.336064,0.0,0.0,0.0,0.0,0
S0,303,4.0,4.25,0,69.26512,69.26512,0.0,0.0,0.0,0.0,0
