model,fold,n_train,n_test,features,accuracy,balanced_accuracy,precision,recall,f1,mcc
SVM-RBF,1,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
SVM-RBF,2,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
SVM-RBF,3,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
SVM-RBF,4,280,40,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
SVM-RBF,5,280,40,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
KNN,1,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
KNN,2,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
KNN,3,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
KNN,4,280,40,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
KNN,5,280,40,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,1,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,2,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,3,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,4,280,40,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,5,280,40,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,1,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,2,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,3,240,80,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,4,280,40,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,5,280,40,legal_packets;legal_mbps;event_rate;enqueue_rate;dequeue_rate;receive_rate;drop_rate;optical_event_rate;optical_uid_rate;optical_mean_size_bytes,1.0,1.0,1.0,1.0,1.0,1.0
