feature,excluded_for_model,fold,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1,mcc
legal_packets,False,1,240,80,0.7,0.7,0.9,0.45,0.6,0.46188021535170065
legal_packets,False,2,240,80,0.7,0.7,0.9,0.45,0.6,0.46188021535170065
legal_packets,False,3,240,80,0.7375,0.7375,0.9130434782608695,0.525,0.6666666666666666,0.5247497678328021
legal_packets,False,4,280,40,0.7,0.7,0.9,0.45,0.6,0.46188021535170065
legal_packets,False,5,280,40,0.725,0.725,0.9090909090909091,0.5,0.6451612903225806,0.5039032598602688
legal_mbps,False,1,240,80,0.7,0.7,0.9,0.45,0.6,0.46188021535170065
legal_mbps,False,2,240,80,0.7,0.7,0.9,0.45,0.6,0.46188021535170065
legal_mbps,False,3,240,80,0.7375,0.7375,0.9130434782608695,0.525,0.6666666666666666,0.5247497678328021
legal_mbps,False,4,280,40,0.7,0.7,0.9,0.45,0.6,0.46188021535170065
legal_mbps,False,5,280,40,0.725,0.725,0.9090909090909091,0.5,0.6451612903225806,0.5039032598602688
event_rate,False,1,240,80,1.0,1.0,1.0,1.0,1.0,1.0
event_rate,False,2,240,80,1.0,1.0,1.0,1.0,1.0,1.0
event_rate,False,3,240,80,1.0,1.0,1.0,1.0,1.0,1.0
event_rate,False,4,280,40,1.0,1.0,1.0,1.0,1.0,1.0
event_rate,False,5,280,40,1.0,1.0,1.0,1.0,1.0,1.0
enqueue_rate,False,1,240,80,1.0,1.0,1.0,1.0,1.0,1.0
enqueue_rate,False,2,240,80,1.0,1.0,1.0,1.0,1.0,1.0
enqueue_rate,False,3,240,80,1.0,1.0,1.0,1.0,1.0,1.0
enqueue_rate,False,4,280,40,1.0,1.0,1.0,1.0,1.0,1.0
enqueue_rate,False,5,280,40,1.0,1.0,1.0,1.0,1.0,1.0
dequeue_rate,False,1,240,80,1.0,1.0,1.0,1.0,1.0,1.0
dequeue_rate,False,2,240,80,1.0,1.0,1.0,1.0,1.0,1.0
dequeue_rate,False,3,240,80,1.0,1.0,1.0,1.0,1.0,1.0
dequeue_rate,False,4,280,40,1.0,1.0,1.0,1.0,1.0,1.0
dequeue_rate,False,5,280,40,1.0,1.0,1.0,1.0,1.0,1.0
receive_rate,False,1,240,80,1.0,1.0,1.0,1.0,1.0,1.0
receive_rate,False,2,240,80,1.0,1.0,1.0,1.0,1.0,1.0
receive_rate,False,3,240,80,1.0,1.0,1.0,1.0,1.0,1.0
receive_rate,False,4,280,40,1.0,1.0,1.0,1.0,1.0,1.0
receive_rate,False,5,280,40,1.0,1.0,1.0,1.0,1.0,1.0
drop_rate,False,1,240,80,0.5,0.5,0.0,0.0,0.0,0.0
drop_rate,False,2,240,80,0.5,0.5,0.0,0.0,0.0,0.0
drop_rate,False,3,240,80,0.5,0.5,0.0,0.0,0.0,0.0
drop_rate,False,4,280,40,0.5,0.5,0.0,0.0,0.0,0.0
drop_rate,False,5,280,40,0.5,0.5,0.0,0.0,0.0,0.0
optical_event_rate,False,1,240,80,1.0,1.0,1.0,1.0,1.0,1.0
optical_event_rate,False,2,240,80,1.0,1.0,1.0,1.0,1.0,1.0
optical_event_rate,False,3,240,80,1.0,1.0,1.0,1.0,1.0,1.0
optical_event_rate,False,4,280,40,1.0,1.0,1.0,1.0,1.0,1.0
optical_event_rate,False,5,280,40,1.0,1.0,1.0,1.0,1.0,1.0
optical_uid_rate,False,1,240,80,1.0,1.0,1.0,1.0,1.0,1.0
optical_uid_rate,False,2,240,80,1.0,1.0,1.0,1.0,1.0,1.0
optical_uid_rate,False,3,240,80,1.0,1.0,1.0,1.0,1.0,1.0
optical_uid_rate,False,4,280,40,1.0,1.0,1.0,1.0,1.0,1.0
optical_uid_rate,False,5,280,40,1.0,1.0,1.0,1.0,1.0,1.0
optical_mean_size_bytes,False,1,240,80,1.0,1.0,1.0,1.0,1.0,1.0
optical_mean_size_bytes,False,2,240,80,1.0,1.0,1.0,1.0,1.0,1.0
optical_mean_size_bytes,False,3,240,80,1.0,1.0,1.0,1.0,1.0,1.0
optical_mean_size_bytes,False,4,280,40,1.0,1.0,1.0,1.0,1.0,1.0
optical_mean_size_bytes,False,5,280,40,1.0,1.0,1.0,1.0,1.0,1.0
attacker_mbps,True,1,240,80,1.0,1.0,1.0,1.0,1.0,1.0
attacker_mbps,True,2,240,80,1.0,1.0,1.0,1.0,1.0,1.0
attacker_mbps,True,3,240,80,1.0,1.0,1.0,1.0,1.0,1.0
attacker_mbps,True,4,280,40,1.0,1.0,1.0,1.0,1.0,1.0
attacker_mbps,True,5,280,40,1.0,1.0,1.0,1.0,1.0,1.0
active_sources,True,1,240,80,1.0,1.0,1.0,1.0,1.0,1.0
active_sources,True,2,240,80,1.0,1.0,1.0,1.0,1.0,1.0
active_sources,True,3,240,80,1.0,1.0,1.0,1.0,1.0,1.0
active_sources,True,4,280,40,1.0,1.0,1.0,1.0,1.0,1.0
active_sources,True,5,280,40,1.0,1.0,1.0,1.0,1.0,1.0
