model,fold,n_train,n_test,features,accuracy,balanced_accuracy,precision,recall,f1,mcc
SVM-RBF,1,440,160,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
SVM-RBF,2,460,140,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.9071428571428571,0.9071428571428571,1.0,0.8142857142857143,0.8976377952755905,0.8287019898321756
SVM-RBF,3,460,140,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.9071428571428571,0.9071428571428571,1.0,0.8142857142857143,0.8976377952755905,0.8287019898321756
SVM-RBF,4,520,80,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
SVM-RBF,5,520,80,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
KNN,1,440,160,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.86875,0.8712406015037594,0.92,0.8214285714285714,0.8679245283018868,0.743005122538554
KNN,2,460,140,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8928571428571429,0.8928571428571428,0.8873239436619719,0.9,0.8936170212765957,0.7857944729151592
KNN,3,460,140,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.9,0.9,0.9,0.9,0.9,0.8
KNN,4,520,80,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.825,0.8258145363408521,0.85,0.8095238095238095,0.8292682926829268,0.6508140266182866
KNN,5,520,80,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.9125,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.8388704928078611
DecisionTree,1,440,160,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8125,0.8101503759398496,0.8,0.8571428571428571,0.8275862068965517,0.6244223969020921
DecisionTree,2,460,140,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.85,0.8500000000000001,0.788235294117647,0.9571428571428572,0.864516129032258,0.716646975644588
DecisionTree,3,460,140,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8785714285714286,0.8785714285714286,0.8441558441558441,0.9285714285714286,0.8843537414965986,0.7609572029819748
DecisionTree,4,520,80,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8125,0.8114035087719298,0.813953488372093,0.8333333333333334,0.8235294117647058,0.6237848906810616
DecisionTree,5,520,80,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8375,0.8339598997493735,0.8085106382978723,0.9047619047619048,0.8539325842696629,0.6775398790681629
GaussianNB,1,440,160,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
GaussianNB,2,460,140,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.9071428571428571,0.9071428571428571,1.0,0.8142857142857143,0.8976377952755905,0.8287019898321756
GaussianNB,3,460,140,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.9071428571428571,0.9071428571428571,1.0,0.8142857142857143,0.8976377952755905,0.8287019898321756
GaussianNB,4,520,80,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
GaussianNB,5,520,80,legal_mbps;aggregate_mbps;burst_rate;burst_loss_rate;rate_cv,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
