scenario,n,metric,mean,ci95_low,ci95_high
S0,8,legal_packets,41646.875,41644.29708902403,41649.45291097597
S0,8,legal_bytes,43313389.625,43310767.92283373,43316011.32716627
S0,8,bursts_sent,0.0,0.0,0.0
S0,8,burst_loss_rate,0.0,0.0,0.0
S1,8,legal_packets,32308.0,31685.568061230788,32930.43193876921
S1,8,legal_bytes,33600987.125,32953600.837120306,34248373.41287969
S1,8,bursts_sent,3500.0,3500.0,3500.0
S1,8,burst_loss_rate,0.0023214285714285715,0.0019795221514829963,0.0026633349913741467
S2_rate_limit,8,legal_packets,41369.0,41325.449422506696,41412.550577493304
S2_rate_limit,8,legal_bytes,43024264.25,42978855.58230056,43069672.91769944
S2_rate_limit,8,bursts_sent,250.0,250.0,250.0
S2_rate_limit,8,burst_loss_rate,0.001,-0.0002831211945876352,0.002283121194587635
S2_isolation,6,legal_packets,41367.166666666664,41309.28542602881,41425.04790730452
S2_isolation,6,legal_bytes,43022316.166666664,42961971.45534276,43082660.877990566
S2_isolation,6,bursts_sent,250.0,250.0,250.0
S2_isolation,6,burst_loss_rate,0.0013333333333333333,-0.00031948379038133955,0.002986150457048006
