feature,excluded_for_model,fold,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1,mcc
legal_mbps,False,1,440,160,0.7625,0.7612781954887218,0.7674418604651163,0.7857142857142857,0.7764705882352941,0.5233768599879329
legal_mbps,False,2,460,140,0.8,0.8,0.7692307692307693,0.8571428571428571,0.8108108108108109,0.6039571739702033
legal_mbps,False,3,460,140,0.8071428571428572,0.8071428571428572,0.8115942028985508,0.8,0.8057553956834532,0.6143484060973063
legal_mbps,False,4,520,80,0.7625,0.762531328320802,0.7804878048780488,0.7619047619047619,0.7710843373493976,0.5245698713085971
legal_mbps,False,5,520,80,0.8,0.7969924812030075,0.782608695652174,0.8571428571428571,0.8181818181818182,0.6000307666669006
aggregate_mbps,False,1,440,160,0.8125,0.8101503759398496,0.8,0.8571428571428571,0.8275862068965517,0.6244223969020921
aggregate_mbps,False,2,460,140,0.85,0.8500000000000001,0.788235294117647,0.9571428571428572,0.864516129032258,0.716646975644588
aggregate_mbps,False,3,460,140,0.8785714285714286,0.8785714285714286,0.8441558441558441,0.9285714285714286,0.8843537414965986,0.7609572029819748
aggregate_mbps,False,4,520,80,0.8125,0.8114035087719298,0.813953488372093,0.8333333333333334,0.8235294117647058,0.6237848906810616
aggregate_mbps,False,5,520,80,0.8375,0.8339598997493735,0.8085106382978723,0.9047619047619048,0.8539325842696629,0.6775398790681629
attacker_mbps,True,1,440,160,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
attacker_mbps,True,2,460,140,0.9071428571428571,0.9071428571428571,1.0,0.8142857142857143,0.8976377952755905,0.8287019898321756
attacker_mbps,True,3,460,140,0.9071428571428571,0.9071428571428571,1.0,0.8142857142857143,0.8976377952755905,0.8287019898321756
attacker_mbps,True,4,520,80,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
attacker_mbps,True,5,520,80,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
burst_rate,False,1,440,160,0.675,0.6904761904761905,1.0,0.38095238095238093,0.5517241379310345,0.47559486560567094
burst_rate,False,2,460,140,0.7214285714285714,0.7214285714285714,1.0,0.44285714285714284,0.6138613861386139,0.533295105663619
burst_rate,False,3,460,140,0.7214285714285714,0.7214285714285714,1.0,0.44285714285714284,0.6138613861386139,0.533295105663619
burst_rate,False,4,520,80,0.675,0.6904761904761905,1.0,0.38095238095238093,0.5517241379310345,0.47559486560567094
burst_rate,False,5,520,80,0.675,0.6904761904761905,1.0,0.38095238095238093,0.5517241379310345,0.47559486560567094
burst_loss_rate,False,1,440,160,0.5625,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.29454709448164634
burst_loss_rate,False,2,460,140,0.6214285714285714,0.6214285714285714,1.0,0.24285714285714285,0.39080459770114945,0.3717679143145911
burst_loss_rate,False,3,460,140,0.5785714285714286,0.5785714285714285,1.0,0.15714285714285714,0.2716049382716049,0.2920125302610444
burst_loss_rate,False,4,520,80,0.5625,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.29454709448164634
burst_loss_rate,False,5,520,80,0.575,0.5952380952380952,1.0,0.19047619047619047,0.32,0.317063243737114
rate_cv,False,1,440,160,0.7375,0.75,1.0,0.5,0.6666666666666666,0.567480306535024
rate_cv,False,2,460,140,0.9071428571428571,0.9071428571428571,1.0,0.8142857142857143,0.8976377952755905,0.8287019898321756
rate_cv,False,3,460,140,0.7928571428571428,0.7928571428571429,1.0,0.5857142857142857,0.7387387387387387,0.6435381994422819
rate_cv,False,4,520,80,0.6375,0.6547619047619048,1.0,0.30952380952380953,0.4727272727272727,0.4189878486804386
rate_cv,False,5,520,80,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
active_sources,True,1,440,160,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
active_sources,True,2,460,140,0.9071428571428571,0.9071428571428571,1.0,0.8142857142857143,0.8976377952755905,0.8287019898321756
active_sources,True,3,460,140,0.9071428571428571,0.9071428571428571,1.0,0.8142857142857143,0.8976377952755905,0.8287019898321756
active_sources,True,4,520,80,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
active_sources,True,5,520,80,0.8375,0.8452380952380952,1.0,0.6904761904761905,0.8169014084507042,0.717267352978599
