model,seed,fold,train_size,test_size,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc
DecisionTree,17,1,860,215,0.7906976744,0.8558333333,0.861013986,0.8558333333,0.858056266,0.6310316675
SVM-RBF,17,1,860,215,0.7906976744,0.8775,0.7053571429,0.8775,0.7606884058,0.6713985736
KNN,17,1,860,215,0.7209302326,0.8258333333,0.7081521739,0.8258333333,0.7555555556,0.5344306305
GaussianNB,17,1,860,215,0.5813953488,0.7225,0.6044337607,0.7225,0.5777131783,0.4187460191
DecisionTree,17,2,860,215,0.9302325581,0.9227941176,0.9365079365,0.9227941176,0.9285714286,0.9027616261
SVM-RBF,17,2,860,215,0.7906976744,0.7925420168,0.818452381,0.7925420168,0.7910121552,0.7209401731
KNN,17,2,860,215,0.6279069767,0.631039916,0.6766098485,0.631039916,0.6225178807,0.5200983023
GaussianNB,17,2,860,215,0.7906976744,0.7970063025,0.7724358974,0.7970063025,0.7763888889,0.7227667962
DecisionTree,17,3,855,220,0.7272727273,0.7751196172,0.7638888889,0.7751196172,0.7655572755,0.609513783
SVM-RBF,17,3,855,220,0.75,0.7408293461,0.8229166667,0.7408293461,0.767625459,0.6390542578
KNN,17,3,855,220,0.7272727273,0.6717005582,0.8257575758,0.6717005582,0.7034707541,0.6021058701
GaussianNB,17,3,855,220,0.6363636364,0.7129186603,0.6415719697,0.7129186603,0.6586134454,0.505176499
DecisionTree,17,4,865,210,0.619047619,0.7821637427,0.7841614907,0.7821637427,0.7797619048,0.3729171224
SVM-RBF,17,4,865,210,0.6666666667,0.8099415205,0.8110119048,0.8099415205,0.8095588235,0.4490637978
KNN,17,4,865,210,0.6428571429,0.7953216374,0.7129370629,0.7953216374,0.7372639654,0.4311106566
GaussianNB,17,4,865,210,0.5714285714,0.7551169591,0.651076555,0.7551169591,0.640037594,0.3837224494
DecisionTree,17,5,860,215,0.7209302326,0.7609848485,0.7507440476,0.7609848485,0.746989122,0.6086950407
SVM-RBF,17,5,860,215,0.7209302326,0.6924242424,0.7367424242,0.6924242424,0.7079004329,0.5818982435
KNN,17,5,860,215,0.6046511628,0.5890151515,0.6395833333,0.5890151515,0.6090909091,0.3999517872
GaussianNB,17,5,860,215,0.7209302326,0.7988636364,0.75,0.7988636364,0.7440711462,0.6382933752
DecisionTree,42,1,860,215,0.6976744186,0.7567934783,0.6994047619,0.7567934783,0.7209872321,0.5501096936
SVM-RBF,42,1,860,215,0.7441860465,0.7304736025,0.7447593168,0.7304736025,0.7269021739,0.60321489
KNN,42,1,860,215,0.6511627907,0.6719720497,0.7259398496,0.6719720497,0.6284506556,0.5000342593
GaussianNB,42,1,860,215,0.6511627907,0.6694487578,0.6220779221,0.6694487578,0.6360465116,0.481326873
DecisionTree,42,2,860,215,0.6744186047,0.7998366013,0.7777777778,0.7998366013,0.7876262626,0.4970852277
SVM-RBF,42,2,860,215,0.6976744186,0.8137254902,0.6802161654,0.8137254902,0.7234524847,0.5411461118
KNN,42,2,860,215,0.5813953488,0.7426470588,0.5389155983,0.7426470588,0.5677696078,0.3983174135
GaussianNB,42,2,860,215,0.6279069767,0.7696078431,0.6601190476,0.7696078431,0.6055911681,0.5338483382
DecisionTree,42,3,865,210,0.8095238095,0.8666666667,0.8573232323,0.8666666667,0.8553407377,0.736979481
SVM-RBF,42,3,865,210,0.7380952381,0.7875,0.8014705882,0.7875,0.7926724138,0.6250208597
KNN,42,3,865,210,0.619047619,0.675,0.7221153846,0.675,0.685989011,0.4533532995
GaussianNB,42,3,865,210,0.6666666667,0.7666666667,0.7227564103,0.7666666667,0.7308201058,0.5448446355
DecisionTree,42,4,855,220,0.7954545455,0.825,0.8194444444,0.825,0.8217286915,0.6714405194
SVM-RBF,42,4,855,220,0.75,0.7520833333,0.7577838828,0.7520833333,0.7506238859,0.5873985242
KNN,42,4,855,220,0.6590909091,0.6508333333,0.7286324786,0.6508333333,0.6847890671,0.4338274828
GaussianNB,42,4,855,220,0.7727272727,0.79375,0.7689393939,0.79375,0.734824781,0.6702180802
DecisionTree,42,5,860,215,0.7441860465,0.8168859649,0.8151709402,0.8168859649,0.8156756757,0.6254039162
SVM-RBF,42,5,860,215,0.7674418605,0.8161549708,0.844924812,0.8161549708,0.8260374494,0.6575775164
KNN,42,5,860,215,0.7209302326,0.7744883041,0.7300438596,0.7744883041,0.7362938596,0.5943067114
GaussianNB,42,5,860,215,0.6744186047,0.7697368421,0.6651785714,0.7697368421,0.678030303,0.559699769
DecisionTree,73,1,860,215,0.6511627907,0.7670807453,0.7152777778,0.7670807453,0.731242236,0.4117086089
SVM-RBF,73,1,860,215,0.7674418605,0.8563664596,0.7295454545,0.8563664596,0.7748626374,0.6285008612
KNN,73,1,860,215,0.6279069767,0.7186853002,0.603125,0.7186853002,0.6376488095,0.4410485231
