feature,cv_seed,fold,train_size,test_size,baseline_f1_macro,importance_mean,importance_std_within_fold,permutation_repeats
Node,42,1,860,215,0.6700326397,-0.03244894188,0.008023193381,10
Utilised Bandwith Rate,42,1,860,215,0.6700326397,-0.01714183936,0.004629410646,10
Packet Drop Rate,42,1,860,215,0.6700326397,-0.02467053047,0.007625440148,10
Full_Bandwidth,42,1,860,215,0.6700326397,0,0,10
Average_Delay_Time_Per_Sec,42,1,860,215,0.6700326397,-0.03364235151,0.005701191941,10
Percentage_Of_Lost_Pcaket_Rate,42,1,860,215,0.6700326397,-0.02974434325,0.004264488862,10
Percentage_Of_Lost_Byte_Rate,42,1,860,215,0.6700326397,-0.01798431521,0.005012563307,10
Packet Received  Rate,42,1,860,215,0.6700326397,-0.02624268105,0.00387062746,10
of Used_Bandwidth,42,1,860,215,0.6700326397,0.0004257466215,0.005415771725,10
Lost_Bandwidth,42,1,860,215,0.6700326397,-0.02240871688,0.008090622539,10
Packet Size_Byte,42,1,860,215,0.6700326397,0,0,10
Packet_Transmitted,42,1,860,215,0.6700326397,0,0,10
Packet_Received,42,1,860,215,0.6700326397,-0.01131181489,0.0009474543721,10
Packet_lost,42,1,860,215,0.6700326397,-0.01871018191,0.005541501702,10
Transmitted_Byte,42,1,860,215,0.6700326397,0,0,10
Received_Byte,42,1,860,215,0.6700326397,0,0,10
10-Run-AVG-Drop-Rate,42,1,860,215,0.6700326397,-0.04485157426,0.007189131486,10
10-Run-AVG-Bandwith-Use,42,1,860,215,0.6700326397,-0.03512610752,0.00769571628,10
10-Run-Delay,42,1,860,215,0.6700326397,-0.03883929895,0.009546161152,10
Node Status,42,1,860,215,0.6700326397,0,0,10
Flood Status,42,1,860,215,0.6700326397,0.1673790458,0.01326622338,10
Node,42,2,860,215,0.8407775021,0.004300429171,0.001783384891,10
Utilised Bandwith Rate,42,2,860,215,0.8407775021,0.008777782655,0.002367523538,10
Packet Drop Rate,42,2,860,215,0.8407775021,0.004056778117,0.003191880745,10
Full_Bandwidth,42,2,860,215,0.8407775021,0.008610873963,0.001618668312,10
Average_Delay_Time_Per_Sec,42,2,860,215,0.8407775021,-0.003526838709,0.004004472227,10
Percentage_Of_Lost_Pcaket_Rate,42,2,860,215,0.8407775021,0.003566436958,0.004751562683,10
Percentage_Of_Lost_Byte_Rate,42,2,860,215,0.8407775021,0.003519460056,0.003577863223,10
Packet Received  Rate,42,2,860,215,0.8407775021,0.003225223138,0.002343447965,10
of Used_Bandwidth,42,2,860,215,0.8407775021,0.007936754592,0.005507395379,10
Lost_Bandwidth,42,2,860,215,0.8407775021,0.01077102869,0.001709016554,10
Packet Size_Byte,42,2,860,215,0.8407775021,0,0,10
Packet_Transmitted,42,2,860,215,0.8407775021,-0.006351848836,0.002802029947,10
Packet_Received,42,2,860,215,0.8407775021,0.01061784301,0.004630771961,10
Packet_lost,42,2,860,215,0.8407775021,0.007265930598,0.00362500152,10
Transmitted_Byte,42,2,860,215,0.8407775021,0.007262596883,0.001724108461,10
Received_Byte,42,2,860,215,0.8407775021,-0.006668803717,0.006034730876,10
10-Run-AVG-Drop-Rate,42,2,860,215,0.8407775021,0.01009200697,0.003610447778,10
10-Run-AVG-Bandwith-Use,42,2,860,215,0.8407775021,0.01004387104,0.00236975595,10
10-Run-Delay,42,2,860,215,0.8407775021,0.01503322174,0.006819419881,10
Node Status,42,2,860,215,0.8407775021,0.003498378526,0.004508673489,10
Flood Status,42,2,860,215,0.8407775021,0.2678318149,0.02547947488,10
Node,42,3,865,210,0.8108469432,-0.01356661959,0.005869496244,10
Utilised Bandwith Rate,42,3,865,210,0.8108469432,-0.01426297175,0.007136362226,10
Packet Drop Rate,42,3,865,210,0.8108469432,-0.01357206381,0.006456140718,10
Full_Bandwidth,42,3,865,210,0.8108469432,0,0,10
Average_Delay_Time_Per_Sec,42,3,865,210,0.8108469432,-0.009625096727,0.005116347476,10
Percentage_Of_Lost_Pcaket_Rate,42,3,865,210,0.8108469432,-0.01345068482,0.006592028809,10
Percentage_Of_Lost_Byte_Rate,42,3,865,210,0.8108469432,-0.01490255348,0.007469614098,10
Packet Received  Rate,42,3,865,210,0.8108469432,-0.006487025379,0.003551017027,10
of Used_Bandwidth,42,3,865,210,0.8108469432,0.006705132703,0.001864875054,10
Lost_Bandwidth,42,3,865,210,0.8108469432,-0.0117881952,0.004493216416,10
Packet Size_Byte,42,3,865,210,0.8108469432,0,0,10
Packet_Transmitted,42,3,865,210,0.8108469432,0.005181161561,0.005378438252,10
Packet_Received,42,3,865,210,0.8108469432,0.005829304779,0.003910756427,10
Packet_lost,42,3,865,210,0.8108469432,-0.0113690735,0.004841845374,10
Transmitted_Byte,42,3,865,210,0.8108469432,0,0,10
Received_Byte,42,3,865,210,0.8108469432,0.009324478869,0.003394863762,10
10-Run-AVG-Drop-Rate,42,3,865,210,0.8108469432,-0.01023222652,0.003866133421,10
10-Run-AVG-Bandwith-Use,42,3,865,210,0.8108469432,-0.02115761169,0.005036266106,10
10-Run-Delay,42,3,865,210,0.8108469432,-0.005988424912,0.0043399976,10
Node Status,42,3,865,210,0.8108469432,0,0,10
Flood Status,42,3,865,210,0.8108469432,0.1900126418,0.02038648733,10
Node,42,4,855,220,0.79375,0,0,10
Utilised Bandwith Rate,42,4,855,220,0.79375,0.00187148123,0.003450419278,10
Packet Drop Rate,42,4,855,220,0.79375,0.005539756039,0.003050561372,10
Full_Bandwidth,42,4,855,220,0.79375,0,0,10
Average_Delay_Time_Per_Sec,42,4,855,220,0.79375,-0.005045244028,0.003143372995,10
Percentage_Of_Lost_Pcaket_Rate,42,4,855,220,0.79375,0.006702044763,0.002848498614,10
Percentage_Of_Lost_Byte_Rate,42,4,855,220,0.79375,0.01766167858,0.007118529601,10
Packet Received  Rate,42,4,855,220,0.79375,0.001187843562,0.002375687125,10
of Used_Bandwidth,42,4,855,220,0.79375,0.002827266756,0.001759817587,10
Lost_Bandwidth,42,4,855,220,0.79375,0.00609886016,0.003128961859,10
Packet Size_Byte,42,4,855,220,0.79375,0,0,10
Packet_Transmitted,42,4,855,220,0.79375,0,0,10
Packet_Received,42,4,855,220,0.79375,0.003938733204,0.006681437592,10
Packet_lost,42,4,855,220,0.79375,0.01214060333,0.004027702304,10
Transmitted_Byte,42,4,855,220,0.79375,0,0,10
Received_Byte,42,4,855,220,0.79375,-0.005033981818,0.002005619439,10
10-Run-AVG-Drop-Rate,42,4,855,220,0.79375,-0.00454282549,0.003018454892,10
10-Run-AVG-Bandwith-Use,42,4,855,220,0.79375,-0.003900288572,0.004649648165,10
10-Run-Delay,42,4,855,220,0.79375,0.004926407041,0.002851006056,10
Node Status,42,4,855,220,0.79375,0,0,10
Flood Status,42,4,855,220,0.79375,0.2266557646,0.01649609536,10
Node,42,5,860,215,0.8626625387,-0.004564640118,0.006325328827,10
Utilised Bandwith Rate,42,5,860,215,0.8626625387,-0.007619858749,0.005989049804,10
Packet Drop Rate,42,5,860,215,0.8626625387,-0.01610513061,0.00477971119,10
Full_Bandwidth,42,5,860,215,0.8626625387,0,0,10
Average_Delay_Time_Per_Sec,42,5,860,215,0.8626625387,0.01117360123,0.008843742239,10
Percentage_Of_Lost_Pcaket_Rate,42,5,860,215,0.8626625387,-0.01702273141,0.003898404882,10
Percentage_Of_Lost_Byte_Rate,42,5,860,215,0.8626625387,-0.01373019222,0.003436543185,10
Packet Received  Rate,42,5,860,215,0.8626625387,-0.01128386256,0.004953834257,10
of Used_Bandwidth,42,5,860,215,0.8626625387,-0.005227006609,0.003918644374,10
Lost_Bandwidth,42,5,860,215,0.8626625387,-0.005170969597,0.003617182446,10
Packet Size_Byte,42,5,860,215,0.8626625387,0,0,10
Packet_Transmitted,42,5,860,215,0.8626625387,0,0,10
Packet_Received,42,5,860,215,0.8626625387,-0.0006109803296,0.003537046227,10
Packet_lost,42,5,860,215,0.8626625387,0.0003003873875,0.002863411501,10
