feature,seed,fold,train_size,test_size,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc
Node,17,1,860,215,0.5813953488,0.25,0.1453488372,0.25,0.1838235294,0
Node,17,2,860,215,0.3953488372,0.25,0.0988372093,0.25,0.1416666667,0
Node,17,3,855,220,0.4318181818,0.25,0.1079545455,0.25,0.1507936508,0
Node,17,4,865,210,0.4523809524,0.25,0.1130952381,0.25,0.1557377049,0
Node,17,5,860,215,0.4651162791,0.25,0.1162790698,0.25,0.1587301587,0
Utilised Bandwith Rate,17,1,860,215,0.5813953488,0.5966666667,0.5020833333,0.5966666667,0.5114512472,0.3326918696
Utilised Bandwith Rate,17,2,860,215,0.6511627907,0.6037289916,0.6600678733,0.6037289916,0.5888888889,0.549529965
Utilised Bandwith Rate,17,3,855,220,0.5681818182,0.5498405104,0.5436507937,0.5498405104,0.5458333333,0.376354144
Utilised Bandwith Rate,17,4,865,210,0.6428571429,0.6557017544,0.6433150183,0.6557017544,0.6382168459,0.4395561043
Utilised Bandwith Rate,17,5,860,215,0.5581395349,0.5159090909,0.5424242424,0.5159090909,0.5270562771,0.3382869679
Packet Drop Rate,17,1,860,215,0.6046511628,0.6283333333,0.5494318182,0.6283333333,0.5530732861,0.384664623
Packet Drop Rate,17,2,860,215,0.6744186047,0.6018907563,0.6495535714,0.6018907563,0.5934343434,0.5605522003
Packet Drop Rate,17,3,855,220,0.5909090909,0.5725677831,0.5797619048,0.5725677831,0.5748376623,0.4068331604
Packet Drop Rate,17,4,865,210,0.5238095238,0.5182748538,0.5323426573,0.5182748538,0.5214398112,0.2355745057
Packet Drop Rate,17,5,860,215,0.6046511628,0.5511363636,0.5787878788,0.5511363636,0.5627705628,0.408221293
Full_Bandwidth,17,1,860,215,0.5348837209,0.315,0.3066502463,0.315,0.3003278398,0.1547640047
Full_Bandwidth,17,2,860,215,0.4186046512,0.3474264706,0.2151988636,0.3474264706,0.2642320086,0.1469705274
Full_Bandwidth,17,3,855,220,0.5,0.3468899522,0.25,0.3468899522,0.2872975277,0.2235861536
Full_Bandwidth,17,4,865,210,0.4761904762,0.2668128655,0.2525252525,0.2668128655,0.2368233618,0.06409119235
Full_Bandwidth,17,5,860,215,0.488372093,0.2829545455,0.2467948718,0.2829545455,0.2276836158,0.1261987271
Average_Delay_Time_Per_Sec,17,1,860,215,0.4186046512,0.2541666667,0.2761387164,0.2541666667,0.2588815789,0.06867449081
Average_Delay_Time_Per_Sec,17,2,860,215,0.4651162791,0.4424178762,0.5400910364,0.4424178762,0.4545751634,0.2684035847
Average_Delay_Time_Per_Sec,17,3,855,220,0.4545454545,0.3935905104,0.40625,0.3935905104,0.3885577487,0.2035172615
Average_Delay_Time_Per_Sec,17,4,865,210,0.4047619048,0.4071637427,0.3227272727,0.4071637427,0.3119049561,0.1512482171
Average_Delay_Time_Per_Sec,17,5,860,215,0.511627907,0.5026515152,0.4931049343,0.5026515152,0.4843489843,0.3287120976
Percentage_Of_Lost_Pcaket_Rate,17,1,860,215,0.5581395349,0.5975,0.5120039683,0.5975,0.5165898112,0.3256083825
Percentage_Of_Lost_Pcaket_Rate,17,2,860,215,0.6976744186,0.6165966387,0.6578054299,0.6165966387,0.6066760037,0.5881205524
Percentage_Of_Lost_Pcaket_Rate,17,3,855,220,0.6136363636,0.5952950558,0.6208333333,0.5952950558,0.6036231884,0.4411650266
Percentage_Of_Lost_Pcaket_Rate,17,4,865,210,0.5714285714,0.5460526316,0.5477272727,0.5460526316,0.5449002217,0.2912902268
Percentage_Of_Lost_Pcaket_Rate,17,5,860,215,0.6046511628,0.5511363636,0.5755411255,0.5511363636,0.5617147081,0.4117947878
Percentage_Of_Lost_Byte_Rate,17,1,860,215,0.6046511628,0.6283333333,0.5494318182,0.6283333333,0.5530732861,0.384664623
Percentage_Of_Lost_Byte_Rate,17,2,860,215,0.6744186047,0.6018907563,0.6495535714,0.6018907563,0.5934343434,0.5605522003
Percentage_Of_Lost_Byte_Rate,17,3,855,220,0.5909090909,0.5725677831,0.5797619048,0.5725677831,0.5748376623,0.4068331604
Percentage_Of_Lost_Byte_Rate,17,4,865,210,0.5238095238,0.5182748538,0.5323426573,0.5182748538,0.5214398112,0.2355745057
Percentage_Of_Lost_Byte_Rate,17,5,860,215,0.6046511628,0.5511363636,0.5787878788,0.5511363636,0.5627705628,0.408221293
Packet Received  Rate,17,1,860,215,0.6046511628,0.6283333333,0.5494318182,0.6283333333,0.5530732861,0.384664623
Packet Received  Rate,17,2,860,215,0.6744186047,0.6018907563,0.6495535714,0.6018907563,0.5934343434,0.5605522003
Packet Received  Rate,17,3,855,220,0.5909090909,0.5725677831,0.5797619048,0.5725677831,0.5748376623,0.4068331604
Packet Received  Rate,17,4,865,210,0.5238095238,0.5182748538,0.5323426573,0.5182748538,0.5214398112,0.2355745057
Packet Received  Rate,17,5,860,215,0.6046511628,0.5511363636,0.5787878788,0.5511363636,0.5627705628,0.408221293
of Used_Bandwidth,17,1,860,215,0.511627907,0.3791666667,0.449025974,0.3791666667,0.4022645266,0.2419384784
