feature,importance_mean,importance_sd_across_folds,importance_min,importance_max,baseline_f1_macro_mean,n_folds
Flood Status,0.2177057984,0.03953253322,0.1673790458,0.2678318149,0.7956139247,5
of Used_Bandwidth,0.002533578812,0.005276174409,-0.005227006609,0.007936754592,0.7956139247,5
Full_Bandwidth,0.001722174793,0.003850899906,0,0.008610873963,0.7956139247,5
Packet_Received,0.001692617153,0.008310214987,-0.01131181489,0.01061784301,0.7956139247,5
Transmitted_Byte,0.001452519377,0.003247932065,0,0.007262596883,0.7956139247,5
Node Status,0.001123847245,0.001614119461,0,0.003498378526,0.7956139247,5
Received_Byte,0.0002499776212,0.006511742766,-0.006668803717,0.009324478869,0.7956139247,5
Packet Size_Byte,0,0,0,0,0.7956139247,5
Packet_Transmitted,-0.000234137455,0.004090119711,-0.006351848836,0.005181161561,0.7956139247,5
Packet_lost,-0.002074466818,0.01282661204,-0.01871018191,0.01214060333,0.7956139247,5
10-Run-Delay,-0.003408749366,0.02119989494,-0.03883929895,0.01503322174,0.7956139247,5
Lost_Bandwidth,-0.004499598564,0.01341482653,-0.02240871688,0.01077102869,0.7956139247,5
Percentage_Of_Lost_Byte_Rate,-0.005087184453,0.01523945646,-0.01798431521,0.01766167858,0.7956139247,5
Utilised Bandwith Rate,-0.005675081194,0.01089560054,-0.01714183936,0.008777782655,0.7956139247,5
Packet Received  Rate,-0.007920100458,0.0117925659,-0.02624268105,0.003225223138,0.7956139247,5
Average_Delay_Time_Per_Sec,-0.008133185949,0.01625153206,-0.03364235151,0.01117360123,0.7956139247,5
Packet Drop Rate,-0.008950238147,0.01321763739,-0.02467053047,0.005539756039,0.7956139247,5
Node,-0.009255954485,0.01455981765,-0.03244894188,0.004300429171,0.7956139247,5
Percentage_Of_Lost_Pcaket_Rate,-0.009989855554,0.01511680414,-0.02974434325,0.006702044763,0.7956139247,5
10-Run-AVG-Bandwith-Use,-0.01053476742,0.01767125189,-0.03512610752,0.01004387104,0.7956139247,5
10-Run-AVG-Drop-Rate,-0.0108418221,0.02045099861,-0.04485157426,0.01009200697,0.7956139247,5
