feature,n_fold_evaluations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,precision_macro_mean,precision_macro_std,precision_macro_min,precision_macro_max,recall_macro_mean,recall_macro_std,recall_macro_min,recall_macro_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,mcc_mean,mcc_std,mcc_min,mcc_max
Flood Status,25,0.7105718313,0.06022922141,0.6046511628,0.8139534884,0.7938524548,0.0412493419,0.6997607656,0.8795454545,0.7844722058,0.03996669798,0.6792929293,0.8476190476,0.7938524548,0.0412493419,0.6997607656,0.8795454545,0.7844895412,0.03849333801,0.688611071,0.8538461538,0.5692289899,0.1016563498,0.3988952886,0.7488288529
10-Run-AVG-Drop-Rate,25,0.6138004631,0.07719595018,0.511627907,0.8139534884,0.6380163535,0.09604033917,0.527173913,0.8598484848,0.6334119709,0.08221051486,0.5194444444,0.8022556391,0.6380163535,0.09604033917,0.527173913,0.8598484848,0.6211417872,0.08180310043,0.519005848,0.8235451433,0.4284351798,0.1192656718,0.2512274959,0.7307742523
10-Run-AVG-Bandwith-Use,25,0.6065297493,0.07173089299,0.4318181818,0.7209302326,0.5987336415,0.100370491,0.3925438596,0.8206521739,0.6222224029,0.09965519504,0.4118671184,0.777173913,0.5987336415,0.100370491,0.3925438596,0.8206521739,0.5921859663,0.08801761671,0.4127777778,0.7917857143,0.4075194526,0.113662691,0.1077554252,0.5740630487
Percentage_Of_Lost_Pcaket_Rate,25,0.6098912715,0.0550902304,0.5238095238,0.7045454545,0.576997357,0.06229501446,0.4597222222,0.7288533835,0.5827258963,0.07989508717,0.4075091575,0.7648809524,0.576997357,0.06229501446,0.4597222222,0.7288533835,0.5674299367,0.06183712194,0.4377705628,0.7011664899,0.4166186417,0.08075757897,0.2912902268,0.5881205524
Packet Drop Rate,25,0.5951948052,0.04741109287,0.5,0.6818181818,0.5706562449,0.05362934294,0.4788011696,0.6931390977,0.5738266155,0.06229908177,0.4770021645,0.7434210526,0.5706562449,0.05362934294,0.4788011696,0.6931390977,0.5596627093,0.04673829891,0.4852941176,0.6482683983,0.3969659629,0.07359135257,0.2312580253,0.5605522003
Packet Received  Rate,25,0.5942645726,0.04838654339,0.5,0.6818181818,0.5698229115,0.05525339947,0.4579678363,0.6931390977,0.5730712467,0.06337387842,0.4770021645,0.7434210526,0.5698229115,0.05525339947,0.4579678363,0.6931390977,0.5589142685,0.04810854411,0.4665830989,0.6482683983,0.3954063208,0.074894657,0.2312580253,0.5605522003
Percentage_Of_Lost_Byte_Rate,25,0.5942645726,0.04838654339,0.5,0.6818181818,0.5698229115,0.05525339947,0.4579678363,0.6931390977,0.5730712467,0.06337387842,0.4770021645,0.7434210526,0.5698229115,0.05525339947,0.4579678363,0.6931390977,0.5589142685,0.04810854411,0.4665830989,0.6482683983,0.3954063208,0.074894657,0.2312580253,0.5605522003
Utilised Bandwith Rate,25,0.5905667975,0.05743454349,0.4761904762,0.6976744186,0.5707202197,0.05926071012,0.4502923977,0.6978383459,0.5630025967,0.06140885663,0.4342532468,0.6600678733,0.5707202197,0.05926071012,0.4502923977,0.6978383459,0.5576162079,0.05511141246,0.459653092,0.6620989305,0.3898112238,0.08371808516,0.2508199509,0.5672490959
Packet_Received,25,0.5244357193,0.06147264816,0.3333333333,0.6279069767,0.4804617538,0.08746307473,0.3097826087,0.6914098973,0.4668470729,0.0799903647,0.3112179487,0.6380952381,0.4804617538,0.08746307473,0.3097826087,0.6914098973,0.4573859616,0.07259439097,0.2985119048,0.6014874142,0.2982048589,0.08885941962,0.06757786647,0.474932172
Received_Byte,25,0.5141779926,0.06363807369,0.3095238095,0.6279069767,0.4746639712,0.08857687911,0.2989130435,0.7052987862,0.4617995054,0.07962464323,0.2916666667,0.6196969697,0.4746639712,0.08857687911,0.2989130435,0.7052987862,0.4512366928,0.07328707095,0.2764784946,0.5871621622,0.2857149963,0.08987756011,0.04594229189,0.4543500715
of Used_Bandwidth,25,0.5141779926,0.06563030532,0.3333333333,0.6279069767,0.4703723004,0.08878452001,0.3097826087,0.6775210084,0.4635207275,0.07774173825,0.2975274725,0.6130952381,0.4703723004,0.08878452001,0.3097826087,0.6775210084,0.4506171561,0.07250733121,0.2973901099,0.5983253589,0.2842684669,0.09718372195,0.04204678205,0.4773437389
Packet_lost,25,0.433603141,0.1025821715,0.2325581395,0.6046511628,0.3973854069,0.09826528073,0.1568627451,0.5768939394,0.3896326963,0.1006295597,0.1776960784,0.6633333333,0.3973854069,0.09826528073,0.1568627451,0.5768939394,0.3759612563,0.08842417591,0.1661220044,0.5345238095,0.1673374429,0.1298151928,-0.1001584569,0.4011095896
Average_Delay_Time_Per_Sec,25,0.4447639183,0.06679185763,0.3255813953,0.5581395349,0.3954023679,0.08615196981,0.2445652174,0.53125,0.3850058875,0.07913205144,0.2218670077,0.5400910364,0.3954023679,0.08615196981,0.2445652174,0.53125,0.3743608643,0.07784327791,0.23625,0.507613614,0.1854808011,0.0910621017,-0.01595213192,0.3287120976
Lost_Bandwidth,25,0.3907359307,0.07253355986,0.2272727273,0.5581395349,0.3710926878,0.09236245464,0.1886554622,0.597826087,0.3577196192,0.07960063592,0.1960227273,0.5113636364,0.3710926878,0.09236245464,0.1886554622,0.597826087,0.3474041887,0.08082802302,0.1827387588,0.4963203463,0.111276595,0.1013745178,-0.08673619053,0.3236344559
Node Status,25,0.5031269506,0.07327869526,0.3720930233,0.619047619,0.4403655359,0.06567913492,0.275,0.5,0.2279022862,0.03693433138,0.1418010753,0.2859477124,0.4403655359,0.06567913492,0.275,0.5,0.2924528869,0.04589133709,0.191522763,0.3571428571,0.2494841749,0.09177547053,0.123885186,0.3962027508
Transmitted_Byte,25,0.4669294272,0.04984772018,0.3488372093,0.5476190476,0.2909114595,0.03013760217,0.2263071895,0.3474264706,0.2332222404,0.03323377287,0.1715686275,0.3066502463,0.2909114595,0.03013760217,0.2263071895,0.3474264706,0.2471276072,0.03033133215,0.1951844262,0.3003278398,0.1055178913,0.0719293621,-0.07336892187,0.2235861536
Full_Bandwidth,25,0.4669294272,0.04984772018,0.3488372093,0.5476190476,0.2909114595,0.03013760217,0.2263071895,0.3474264706,0.2332222404,0.03323377287,0.1715686275,0.3066502463,0.2909114595,0.03013760217,0.2263071895,0.3474264706,0.2471276072,0.03033133215,0.1951844262,0.3003278398,0.1055178913,0.0719293621,-0.07336892187,0.2235861536
